Country,Item,Year,Yield (100 hg/ha),Pesticides (Tons),Rainfall (mm),NPK Fertilizers (Tons)
Kyrgyzstan,Potatoes,2017,170537,560.0,533.0,525.0
Kyrgyzstan,Potatoes,2018,171342,608.0,533.0,600.0
Latvia,Potatoes,2009,175133,881.2,667.0,72196.0
Latvia,Potatoes,2010,160797,1027.5,667.0,107669.0
Latvia,Potatoes,2011,168013,1074.01,667.0,112652.0
Latvia,Potatoes,2012,191099,1281.04,667.0,131702.0
Latvia,Potatoes,2013,181648,1250.5,667.0,157503.0
Latvia,Potatoes,2014,188690,1417.41,667.0,144614.0
Latvia,Potatoes,2015,200500,1510.15,667.0,158660.0
Latvia,Potatoes,2016,212814,1724.62,667.0,176011.0
Latvia,Potatoes,2017,189907,1478.43,667.0,162308.0
Latvia,Potatoes,2018,198182,1586.99,667.0,149752.0
Latvia,Potatoes,2019,223700,1650.67,667.0,164143.0
Lebanon,Potatoes,2009,224868,1816.0,661.0,27796.0
Lebanon,Potatoes,2010,237974,1816.0,661.0,34667.0
Lebanon,Potatoes,2011,239130,1816.0,661.0,41159.0
Lebanon,Potatoes,2013,260759,1816.0,661.0,40000.0
Lebanon,Potatoes,2014,252295,1816.0,661.0,40000.0
Lebanon,Potatoes,2015,260750,1816.0,661.0,40000.0
Lebanon,Potatoes,2016,285948,1816.0,661.0,40000.0
Lesotho,Potatoes,2017,176911,140.57,788.0,1981.0
Lesotho,Potatoes,2018,175873,91.65,788.0,9889.0
Lithuania,Potatoes,2009,142167,2748.8,656.0,97500.0
Lithuania,Potatoes,2010,130301,1803.77,656.0,168550.0
Lithuania,Potatoes,2011,155889,2062.34,656.0,158080.0
Luxembourg,Potatoes,2009,331854,154.25,934.0,3550.0
Luxembourg,Potatoes,2010,317577,154.25,934.0,4254.0
Luxembourg,Potatoes,2011,309906,154.25,934.0,20799.0
Luxembourg,Potatoes,2016,304471,159.93,934.0,1022.42
Luxembourg,Potatoes,2017,342368,139.5,934.0,747.27
Luxembourg,Potatoes,2018,257302,139.61,934.0,275.0
Luxembourg,Potatoes,2019,255500,133.04,934.0,23.91
Madagascar,Potatoes,2009,59915,143.9,1513.0,8147.0
Madagascar,Potatoes,2010,58929,241.89,1513.0,10493.0
Madagascar,Potatoes,2011,58971,310.36,1513.0,10060.0
Malawi,Potatoes,2009,161923,736.25,1181.0,84388.0
Malawi,Potatoes,2010,160600,584.12,1181.0,81855.0
Malawi,Potatoes,2011,159930,553.57,1181.0,39958.0
Malawi,Potatoes,2012,172009,775.83,1181.0,89701.0
Malawi,Potatoes,2013,175414,1500.27,1181.0,85971.0
Malawi,Potatoes,2014,174729,2358.01,1181.0,179699.0
Malawi,Potatoes,2015,172870,2358.01,1181.0,109684.5
Malawi,Potatoes,2016,165504,2358.01,1181.0,109684.5
Malta,Potatoes,2009,143843,113.68,560.0,630.0
Malta,Potatoes,2010,221698,110.19,560.0,433.72
Malta,Potatoes,2011,269886,106.7,560.0,427.62
Mauritius,Potatoes,2009,231096,894.07,2041.0,21.0
Mauritius,Potatoes,2010,203649,916.52,2041.0,13.0
Mauritius,Potatoes,2014,236346,843.62,2041.0,4762.0
Mauritius,Potatoes,2015,232348,907.29,2041.0,4764.0
Mauritius,Potatoes,2016,213412,917.04,2041.0,6325.0
Mauritius,Potatoes,2017,198930,530.02,2041.0,7222.0
Mauritius,Potatoes,2018,236898,771.49,2041.0,6018.0
Mauritius,Potatoes,2019,207591,754.73,2041.0,5600.0
Mexico,Potatoes,2009,277374,50327.9,758.0,104287.0
Mexico,Potatoes,2010,277578,52305.13,758.0,174898.17
Mexico,Potatoes,2011,262734,53219.63,758.0,106892.81
Mongolia,Potatoes,2009,111801,115.7,241.0,73.0
Mongolia,Potatoes,2010,121584,115.7,241.0,152.0
Mongolia,Potatoes,2011,131139,115.7,241.0,68.0
Morocco,Potatoes,2009,195328,13697.0,346.0,8465.0
Morocco,Potatoes,2010,283502,13697.0,346.0,4065.0
Morocco,Potatoes,2011,297584,13697.0,346.0,56182.3
Morocco,Potatoes,2012,279800,13697.0,346.0,74434.0
Morocco,Potatoes,2013,363561,13697.0,346.0,54048.0
Morocco,Potatoes,2014,307171,13697.0,346.0,25552.0
Morocco,Potatoes,2015,298292,13697.0,346.0,28508.0
Morocco,Potatoes,2016,293368,13697.0,346.0,18000.0
Mozambique,Potatoes,2009,69417,914.98,1032.0,11166.0
Mozambique,Potatoes,2010,70036,1189.02,1032.0,578.0
Mozambique,Potatoes,2011,70654,768.85,1032.0,5216.0
Myanmar,Potatoes,2009,145739,1091.08,2091.0,23055.0
Myanmar,Potatoes,2010,145071,3340.09,2091.0,59483.0
Myanmar,Potatoes,2011,149257,4642.42,2091.0,66739.0
Myanmar,Potatoes,2017,152866,17274.0,2091.0,528061.0
Myanmar,Potatoes,2018,152997,15326.0,2091.0,638112.0
Myanmar,Potatoes,2019,154943,17337.49,2091.0,373242.0
Namibia,Potatoes,2009,130495,598.35,285.0,13.0
Namibia,Potatoes,2010,121392,656.75,285.0,1704.0
Namibia,Potatoes,2011,120039,576.76,285.0,1043.0
Nepal,Potatoes,2009,133263,209.52,1500.0,3788.0
Nepal,Potatoes,2010,135841,332.01,1500.0,0.0
Nicaragua,Potatoes,2009,134615,9387.95,2280.0,4066.0
Nicaragua,Potatoes,2010,134615,12242.19,2280.0,1396.36
Nicaragua,Potatoes,2011,168339,4932.05,2280.0,1272.81
Nicaragua,Potatoes,2012,169329,4413.82,2280.0,3965.0
Nicaragua,Potatoes,2013,170847,6705.5,2280.0,6434.0
Nicaragua,Potatoes,2014,168742,6826.97,2280.0,7556.0
Nicaragua,Potatoes,2015,186415,7845.9,2280.0,150.0
Nicaragua,Potatoes,2016,169350,7682.29,2280.0,82131.0
Nicaragua,Potatoes,2017,175376,7902.15,2280.0,854.0
Niger,Potatoes,2009,172504,7.32,151.0,6541.0
Niger,Potatoes,2010,172580,11.49,151.0,4612.0
Niger,Potatoes,2011,161890,10.59,151.0,12511.25
Niger,Potatoes,2016,288323,47.66,151.0,8419.3
Niger,Potatoes,2017,293374,32.76,151.0,15753.0
Niger,Potatoes,2018,297204,17.86,151.0,11026.0
Niger,Potatoes,2019,300780,22.13,151.0,6748.0
Nigeria,Potatoes,2009,40000,18095.71,1150.0,208758.0
Nigeria,Potatoes,2010,38584,26872.77,1150.0,436193.0
Nigeria,Potatoes,2011,34906,31079.27,1150.0,178320.0
North Macedonia,Potatoes,2009,149105,98.0,619.0,18745.0
North Macedonia,Potatoes,2010,155110,98.0,619.0,24925.0
North Macedonia,Potatoes,2011,141647,98.0,619.0,24381.0
Norway,Potatoes,2009,241836,534.56,1414.0,331934.0
Norway,Potatoes,2010,251662,698.98,1414.0,320014.0
Norway,Potatoes,2011,229141,823.96,1414.0,357534.0
Norway,Potatoes,2012,240527,813.93,1414.0,337804.0
Norway,Potatoes,2013,251702,761.97,1414.0,340885.0
Norway,Potatoes,2014,289753,861.21,1414.0,355052.0
