Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","0","A","Official figure"
"RFB","Fertilizers by Product","446","China, Macao SAR","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","0","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","618275","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","661124","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","653388","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","679091","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","713367","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","707584","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","710494","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","746995.13","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","690054","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","688326","A","Official figure"
"RFB","Fertilizers by Product","158","China, Taiwan Province of","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","644175","A","Official figure"
"RFB","Fertilizers by Product","170","Colombia","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","589334","I","Imputed value"
"RFB","Fertilizers by Product","170","Colombia","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","668071","I","Imputed value"
"RFB","Fertilizers by Product","170","Colombia","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","813976","I","Imputed value"
"RFB","Fertilizers by Product","170","Colombia","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","100127.35","A","Official figure"
"RFB","Fertilizers by Product","170","Colombia","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","112854.15","A","Official figure"
"RFB","Fertilizers by Product","178","Congo","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","3575","I","Imputed value"
